"Order ID","Customer ID","Platform","Order Date & Time","Promised Delivery (Minutes)","Actual Delivery (Minutes)","Product Category","Order Value (INR)","Items Count","Customer Feedback","Service Rating","Delivery Delay","Refund Requested"
"ORD000050","CUST0002","JioMart","2024-11-01 05:16:36","35","26","Fruits & Vegetables","463","3","Decent experience overall.","3","No","No"
"ORD000051","CUST0015","Swiggy Instamart","2024-11-01 05:28:43","29","20","Beverages","1872","4","Great value for money.","3","No","No"
"ORD000052","CUST0001","Swiggy Instamart","2024-11-01 05:30:27","33","40","Snacks","262","6","Will definitely order again!","2","Yes","Yes"
"ORD000053","CUST0022","Swiggy Instamart","2024-11-01 05:34:16","35","30","Personal Care","426","2","Easy to order, loved it!","4","No","No"
"ORD000054","CUST0001","JioMart","2024-11-01 05:35:07","39","32","Fruits & Vegetables","333","6","Delivery was a little slow but acceptable.","4","No","No"
"ORD000055","CUST0006","Blinkit","2024-11-01 05:46:13","28","23","Beverages","504","2","Quick and reliable!","3","No","Yes"
"ORD000056","CUST0001","Swiggy Instamart","2024-11-01 05:51:44","24","12","Dairy","387","3","Packaging could be better.","5","No","No"
"ORD000057","CUST0001","JioMart","2024-11-01 06:03:33","36","45","Fruits & Vegetables","724","6","Product quality was average.","2","Yes","Yes"
"ORD000058","CUST0004","Blinkit","2024-11-01 06:05:26","38","29","Personal Care","637","2","Great value for money.","3","No","No"
"ORD000059","CUST0001","Blinkit","2024-11-01 06:06:02","27","12","Dairy","711","3","Great value for money.","4","No","No"
"ORD000060","CUST0001","Blinkit","2024-11-01 06:12:41","25","22","Beverages","899","6","Excellent experience!","4","No","Yes"
"ORD000061","CUST0001","JioMart","2024-11-01 06:14:33","19","10","Grocery","618","5","Packaging could be better.","3","No","No"
"ORD000062","CUST0001","Blinkit","2024-11-01 06:22:49","35","32","Fruits & Vegetables","288","4","Delivery was a little slow but acceptable.","3","No","No"
"ORD000063","CUST0002","JioMart","2024-11-01 06:24:44","26","19","Beverages","1115","6","Packaging could be better.","3","No","No"
"ORD000064","CUST0002","Swiggy Instamart","2024-11-01 06:27:35","25","21","Dairy","315","9","Quick and reliable!","3","No","No"
"ORD000065","CUST0001","Swiggy Instamart","2024-11-01 06:29:20","30","27","Personal Care","2000","2","Delayed and poor communication.","4","No","No"
"ORD000066","CUST0003","Swiggy Instamart","2024-11-01 06:29:57","39","33","Personal Care","509","1","Smooth ordering and quick delivery.","5","No","No"
"ORD000067","CUST0001","Blinkit","2024-11-01 06:35:12","23","20","Dairy","725","7","Good quality products.","5","No","No"
"ORD000068","CUST0029","JioMart","2024-11-01 06:37:58","35","26","Fruits & Vegetables","235","2","Will definitely order again!","4","No","No"
"ORD000069","CUST0515","Blinkit","2024-11-01 06:37:59","26","21","Beverages","710","5","Wrong item delivered.","5","No","No"
"ORD000070","CUST0002","Blinkit","2024-11-01 06:48:49","23","20","Snacks","269","2","Easy to order, loved it!","3","No","No"
"ORD000071","CUST0001","Swiggy Instamart","2024-11-01 06:48:49","28","26","Personal Care","522","2","Great value for money.","4","No","No"
"ORD000072","CUST0006","Blinkit","2024-11-01 06:48:54","37","34","Fruits & Vegetables","1082","3","Delivery person was rude.","5","No","No"
"ORD000073","CUST0018","Blinkit","2024-11-01 06:50:54","25","18","Beverages","359","4","Very satisfied with the service.","5","No","No"
"ORD000074","CUST0001","JioMart","2024-11-01 06:51:17","39","34","Personal Care","947","1","Smooth ordering and quick delivery.","5","No","No"
"ORD000075","CUST0022","Blinkit","2024-11-01 06:54:03","21","18","Grocery","578","2","Delivery was a little slow but acceptable.","5","No","No"
"ORD000076","CUST0001","Swiggy Instamart","2024-11-01 06:57:14","36","33","Fruits & Vegetables","182","6","Delivery was a little slow but acceptable.","3","No","No"
"ORD000077","CUST0003","JioMart","2024-11-01 06:58:53","27","22","Grocery","1029","6","Delivery was a little slow but acceptable.","4","No","No"
"ORD000078","CUST0003","Swiggy Instamart","2024-11-01 07:00:08","31","27","Snacks","717","4","Will definitely order again!","4","No","No"
"ORD000079","CUST0001","JioMart","2024-11-01 07:00:26","24","18","Dairy","313","7","Delivery was a little slow but acceptable.","3","No","Yes"
"ORD000080","CUST0153","Blinkit","2024-11-01 07:04:06","23","16","Dairy","1007","4","Delayed and poor communication.","1","No","No"
"ORD000081","CUST0001","JioMart","2024-11-01 07:04:39","26","17","Beverages","682","3","Will definitely order again!","5","No","No"
"ORD000082","CUST0001","Swiggy Instamart","2024-11-01 07:05:35","24","20","Beverages","268","2","Fast delivery, great service!","5","No","No"
"ORD000083","CUST2743","Blinkit","2024-11-01 07:05:37","27","34","Snacks","612","6","Horrible experience, never ordering again.","2","Yes","Yes"
"ORD000084","CUST0002","Blinkit","2024-11-01 07:06:03","28","22","Snacks","433","5","Packaging could be better.","2","No","No"
"ORD000085","CUST0021","Swiggy Instamart","2024-11-01 07:06:07","34","24","Fruits & Vegetables","51","10","Easy to order, loved it!","4","No","No"
"ORD000086","CUST0053","Swiggy Instamart","2024-11-01 07:07:57","25","18","Grocery","519","7","Will definitely order again!","4","No","No"
"ORD000087","CUST0001","Swiggy Instamart","2024-11-01 07:08:53","33","27","Personal Care","428","2","Will definitely order again!","4","No","No"
"ORD000088","CUST0001","Blinkit","2024-11-01 07:10:00","23","12","Snacks","291","3","Very satisfied with the service.","3","No","No"
"ORD000089","CUST0001","JioMart","2024-11-01 07:10:21","24","22","Grocery","677","4","Product arrived damaged.","2","No","No"
"ORD000090","CUST0003","Blinkit","2024-11-01 07:11:07","30","27","Snacks","248","3","Delivery was a little slow but acceptable.","3","No","No"
"ORD000091","CUST0001","JioMart","2024-11-01 07:15:40","19","13","Grocery","767","7","Will definitely order again!","4","No","No"
"ORD000092","CUST0003","Swiggy Instamart","2024-11-01 07:16:43","34","25","Fruits & Vegetables","311","3","Horrible experience, never ordering again.","3","No","No"
"ORD000093","CUST0009","Blinkit","2024-11-01 07:17:12","29","19","Personal Care","653","3","Smooth ordering and quick delivery.","4","No","No"
"ORD000094","CUST0002","JioMart","2024-11-01 07:17:46","31","28","Snacks","386","6","Good quality products.","5","No","No"
"ORD000095","CUST0003","JioMart","2024-11-01 07:18:04","33","30","Personal Care","383","2","Great value for money.","4","No","No"
"ORD000096","CUST0001","Blinkit","2024-11-01 07:18:26","34","44","Personal Care","403","2","Not fresh, disappointed.","2","Yes","No"
"ORD000097","CUST0002","Blinkit","2024-11-01 07:19:06","27","22","Snacks","501","2","Good quality products.","3","No","No"
"ORD000098","CUST0002","Blinkit","2024-11-01 07:22:55","35","26","Fruits & Vegetables","348","1","Fast delivery, great service!","4","No","No"
"ORD000099","CUST0020","Swiggy Instamart","2024-11-01 07:24:04","36","31","Fruits & Vegetables","221","5","Quick and reliable!","4","No","No"
"ORD000100","CUST0001","JioMart","2024-11-01 07:24:36","21","30","Grocery","1040","4","Excellent experience!","4","Yes","No"
"ORD000101","CUST0001","Swiggy Instamart","2024-11-01 07:24:51","34","41","Personal Care","648","1","Items missing from order.","2","Yes","Yes"
"ORD000102","CUST0001","Swiggy Instamart","2024-11-01 07:30:34","25","17","Snacks","464","3","Easy to order, loved it!","5","No","No"
"ORD000103","CUST0003","Blinkit","2024-11-01 07:33:12","23","20","Beverages","493","3","Good quality products.","3","No","No"
"ORD000104","CUST0019","Swiggy Instamart","2024-11-01 07:33:23","24","17","Dairy","367","1","Excellent experience!","3","No","No"
"ORD000105","CUST0001","JioMart","2024-11-01 07:33:33","28","23","Dairy","354","3","Very satisfied with the service.","3","No","No"
"ORD000106","CUST0001","Blinkit","2024-11-01 07:33:49","26","13","Beverages","308","7","Decent experience overall.","3","No","No"
"ORD000107","CUST0008","Blinkit","2024-11-01 07:33:57","31","19","Personal Care","417","2","Cold items arrived melted.","3","No","No"
"ORD000108","CUST0004","JioMart","2024-11-01 07:37:01","36","33","Personal Care","500","1","Decent experience overall.","3","No","No"
"ORD000109","CUST0006","JioMart","2024-11-01 07:39:01","31","28","Snacks","289","4","Smooth ordering and quick delivery.","4","No","No"
"ORD000110","CUST0014","JioMart","2024-11-01 07:41:09","23","20","Snacks","1729","2","Wrong item delivered.","2","No","Yes"
"ORD000111","CUST0011","Blinkit","2024-11-01 07:48:19","37","30","Fruits & Vegetables","249","3","Good quality products.","5","No","No"
"ORD000112","CUST0009","JioMart","2024-11-01 07:51:39","37","32","Fruits & Vegetables","75","4","Easy to order, loved it!","4","No","No"
"ORD000113","CUST0045","Blinkit","2024-11-01 07:52:29","30","24","Personal Care","698","4","Items missing from order.","3","No","No"
"ORD000114","CUST0007","JioMart","2024-11-01 07:52:44","27","42","Beverages","322","5","Smooth ordering and quick delivery.","2","Yes","Yes"
"ORD000115","CUST0001","JioMart","2024-11-01 07:53:31","25","30","Beverages","1303","7","Cold items arrived melted.","1","Yes","Yes"
"ORD000116","CUST0001","Blinkit","2024-11-01 07:54:22","28","24","Dairy","599","2","Great value for money.","5","No","No"
"ORD000117","CUST0002","JioMart","2024-11-01 07:55:33","29","25","Snacks","393","5","Great value for money.","5","No","No"
"ORD000118","CUST0001","Blinkit","2024-11-01 07:55:59","19","12","Grocery","448","3","Good quality products.","5","No","No"
"ORD000119","CUST0002","JioMart","2024-11-01 07:56:01","18","9","Grocery","642","9","Great value for money.","5","No","No"
"ORD000120","CUST0001","Swiggy Instamart","2024-11-01 07:59:27","18","31","Grocery","440","5","Delayed and poor communication.","2","Yes","Yes"
"ORD000121","CUST0001","JioMart","2024-11-01 08:01:49","24","14","Grocery","1525","6","Smooth ordering and quick delivery.","5","No","No"
"ORD000122","CUST0003","Swiggy Instamart","2024-11-01 08:03:57","25","22","Dairy","610","3","Quick and reliable!","5","No","No"
"ORD000123","CUST0001","Swiggy Instamart","2024-11-01 08:06:51","23","20","Snacks","276","6","Decent experience overall.","3","No","No"
"ORD000124","CUST0001","Swiggy Instamart","2024-11-01 08:07:31","25","21","Dairy","674","4","Items missing from order.","1","No","Yes"
"ORD000125","CUST0001","Swiggy Instamart","2024-11-01 08:09:35","36","28","Fruits & Vegetables","178","5","Very satisfied with the service.","5","No","No"
"ORD000126","CUST0001","Blinkit","2024-11-01 08:12:55","21","18","Grocery","396","3","Decent experience overall.","3","No","No"
"ORD000127","CUST0001","Blinkit","2024-11-01 08:15:44","28","24","Beverages","263","5","Fast delivery, great service!","5","No","No"
"ORD000128","CUST0003","Blinkit","2024-11-01 08:16:08","35","45","Fruits & Vegetables","280","3","Smooth ordering and quick delivery.","3","Yes","No"
"ORD000129","CUST0001","JioMart","2024-11-01 08:18:11","35","30","Fruits & Vegetables","278","2","Not fresh, disappointed.","1","No","Yes"
"ORD000130","CUST0001","Blinkit","2024-11-01 08:19:59","21","15","Beverages","120","6","Product quality was average.","3","No","No"
"ORD000131","CUST0001","Blinkit","2024-11-01 08:21:41","28","25","Snacks","315","4","Will definitely order again!","4","No","No"
"ORD000132","CUST0178","Blinkit","2024-11-01 08:21:51","23","19","Grocery","311","5","Fast delivery, great service!","4","No","No"
"ORD000133","CUST0001","Swiggy Instamart","2024-11-01 08:23:11","23","30","Grocery","403","4","Horrible experience, never ordering again.","2","Yes","Yes"
"ORD000134","CUST0001","JioMart","2024-11-01 08:23:49","35","28","Fruits & Vegetables","178","3","Delivery was a little slow but acceptable.","3","No","No"
"ORD000135","CUST0001","Blinkit","2024-11-01 08:23:58","31","23","Personal Care","440","5","Easy to order, loved it!","5","No","No"
"ORD000136","CUST0396","Blinkit","2024-11-01 08:24:02","24","13","Snacks","291","2","Product quality was average.","3","No","No"
"ORD000137","CUST0006","Blinkit","2024-11-01 08:25:26","25","21","Dairy","508","5","Not fresh, disappointed.","3","No","Yes"
"ORD000138","CUST0043","JioMart","2024-11-01 08:26:20","37","41","Personal Care","330","4","Product quality was average.","2","Yes","No"
"ORD000139","CUST0001","Blinkit","2024-11-01 08:27:29","34","32","Personal Care","1139","4","Delivery was a little slow but acceptable.","5","No","No"
"ORD000140","CUST0001","JioMart","2024-11-01 08:28:52","35","32","Fruits & Vegetables","759","4","Decent experience overall.","3","No","No"
"ORD000141","CUST0021","Swiggy Instamart","2024-11-01 08:32:09","39","50","Personal Care","889","1","Decent experience overall.","2","Yes","Yes"
"ORD000142","CUST0008","Swiggy Instamart","2024-11-01 08:32:26","34","30","Fruits & Vegetables","248","8","Packaging could be better.","3","No","Yes"
"ORD000143","CUST0001","Swiggy Instamart","2024-11-01 08:32:45","26","19","Snacks","255","5","Order was okay, nothing special.","3","No","No"
"ORD000144","CUST0001","Swiggy Instamart","2024-11-01 08:37:24","28","22","Beverages","530","6","Items missing from order.","3","No","Yes"
"ORD000145","CUST0001","Blinkit","2024-11-01 08:38:58","26","21","Beverages","254","3","Will definitely order again!","4","No","No"
"ORD000146","CUST0003","JioMart","2024-11-01 08:41:59","24","17","Grocery","1110","4","Decent experience overall.","3","No","No"
"ORD000147","CUST0004","Blinkit","2024-11-01 08:42:03","21","14","Dairy","517","4","Will definitely order again!","5","No","No"
"ORD000148","CUST0002","Swiggy Instamart","2024-11-01 08:43:17","28","15","Personal Care","357","5","Good quality products.","4","No","No"
"ORD000149","CUST0023","JioMart","2024-11-01 08:45:00","21","18","Grocery","708","2","Great value for money.","4","No","No"
"ORD000150","CUST0001","Blinkit","2024-11-01 08:45:08","18","12","Grocery","704","4","Packaging could be better.","3","No","No"
"ORD000151","CUST0001","Swiggy Instamart","2024-11-01 08:45:26","28","25","Snacks","282","9","Great value for money.","5","No","No"
"ORD000152","CUST0001","JioMart","2024-11-01 08:46:03","30","40","Personal Care","989","5","Good quality products.","2","Yes","Yes"
"ORD000153","CUST0012","Swiggy Instamart","2024-11-01 08:47:48","28","25","Snacks","276","9","Delivery person was rude.","2","No","Yes"
"ORD000154","CUST0003","JioMart","2024-11-01 08:48:44","23","19","Dairy","227","3","Very satisfied with the service.","4","No","No"
"ORD000155","CUST0102","Blinkit","2024-11-01 08:53:22","25","21","Dairy","563","6","Easy to order, loved it!","4","No","No"
"ORD000156","CUST0001","JioMart","2024-11-01 08:55:21","23","36","Dairy","504","4","Delivery person was rude.","1","Yes","Yes"
"ORD000157","CUST0001","Swiggy Instamart","2024-11-01 08:56:18","21","13","Dairy","640","5","Product quality was average.","3","No","No"
"ORD000158","CUST0002","JioMart","2024-11-01 08:56:23","35","42","Personal Care","1684","1","Product quality was average.","2","Yes","Yes"
"ORD000159","CUST1085","Blinkit","2024-11-01 08:56:25","35","23","Personal Care","245","5","Very satisfied with the service.","5","No","No"
"ORD000160","CUST0001","JioMart","2024-11-01 08:56:38","23","46","Dairy","496","5","Great value for money.","3","Yes","Yes"
"ORD000161","CUST0055","JioMart","2024-11-01 08:58:47","29","24","Snacks","215","4","Smooth ordering and quick delivery.","4","No","No"
"ORD000162","CUST0007","Swiggy Instamart","2024-11-01 08:59:04","33","20","Personal Care","502","3","Will definitely order again!","4","No","No"
"ORD000163","CUST0002","Blinkit","2024-11-01 08:59:04","25","17","Snacks","589","5","Delayed and poor communication.","1","No","Yes"
"ORD000164","CUST0001","Blinkit","2024-11-01 09:02:15","27","23","Snacks","310","10","Will definitely order again!","4","No","No"
"ORD000165","CUST0082","Swiggy Instamart","2024-11-01 09:02:49","43","39","Fruits & Vegetables","180","3","Great value for money.","4","No","No"
"ORD000166","CUST0001","JioMart","2024-11-01 09:03:08","25","21","Dairy","271","3","Great value for money.","4","No","No"
"ORD000167","CUST0001","Swiggy Instamart","2024-11-01 09:04:00","42","38","Fruits & Vegetables","241","2","Product quality was average.","3","No","No"
"ORD000168","CUST0004","JioMart","2024-11-01 09:05:20","24","41","Beverages","503","5","Order was okay, nothing special.","2","Yes","Yes"
"ORD000169","CUST2305","JioMart","2024-11-01 09:10:03","34","43","Fruits & Vegetables","537","5","Decent experience overall.","3","Yes","Yes"
"ORD000170","CUST0006","Blinkit","2024-11-01 09:10:14","28","24","Snacks","619","6","Items missing from order.","3","No","No"
"ORD000171","CUST0005","Blinkit","2024-11-01 09:10:56","19","16","Grocery","898","6","Delayed and poor communication.","5","No","No"
"ORD000172","CUST0001","Blinkit","2024-11-01 09:11:37","24","16","Grocery","584","1","Packaging could be better.","3","No","Yes"
"ORD000173","CUST0025","Swiggy Instamart","2024-11-01 09:13:10","37","43","Fruits & Vegetables","189","3","Packaging could be better.","2","Yes","Yes"
"ORD000174","CUST0006","JioMart","2024-11-01 09:14:20","27","20","Beverages","771","2","Great value for money.","4","No","No"
"ORD000175","CUST0005","Swiggy Instamart","2024-11-01 09:14:54","27","21","Dairy","460","3","Great value for money.","4","No","No"
"ORD000176","CUST0013","JioMart","2024-11-01 09:14:58","19","9","Grocery","1020","3","Smooth ordering and quick delivery.","5","No","No"
"ORD000177","CUST0006","Blinkit","2024-11-01 09:18:47","24","18","Grocery","596","2","Order was okay, nothing special.","4","No","No"
"ORD000178","CUST0015","Swiggy Instamart","2024-11-01 09:21:32","24","16","Grocery","1764","7","Easy to order, loved it!","3","No","No"
"ORD000179","CUST0003","JioMart","2024-11-01 09:25:46","25","20","Grocery","469","3","Excellent experience!","4","No","No"
"ORD000180","CUST0007","JioMart","2024-11-01 09:25:59","23","14","Dairy","162","4","Smooth ordering and quick delivery.","4","No","No"
"ORD000181","CUST0001","Blinkit","2024-11-01 09:26:38","25","39","Grocery","417","7","Quick and reliable!","3","Yes","No"
"ORD000182","CUST0002","Blinkit","2024-11-01 09:29:40","25","22","Dairy","399","4","Order was okay, nothing special.","4","No","No"
"ORD000183","CUST0001","Swiggy Instamart","2024-11-01 09:29:58","20","16","Dairy","1332","2","Order was okay, nothing special.","3","No","No"
"ORD000184","CUST0249","Swiggy Instamart","2024-11-01 09:33:05","25","15","Grocery","815","6","Smooth ordering and quick delivery.","5","No","No"
"ORD000185","CUST0071","JioMart","2024-11-01 09:34:53","23","15","Grocery","838","5","Excellent experience!","4","No","No"
"ORD000186","CUST0001","Blinkit","2024-11-01 09:38:31","39","35","Fruits & Vegetables","264","2","Product quality was average.","2","No","Yes"
"ORD000187","CUST0001","Blinkit","2024-11-01 09:40:43","22","14","Grocery","475","3","Great value for money.","3","No","No"
"ORD000188","CUST0001","Swiggy Instamart","2024-11-01 09:41:31","25","21","Beverages","450","6","Quick and reliable!","4","No","No"
"ORD000189","CUST0001","Blinkit","2024-11-01 09:42:11","36","33","Fruits & Vegetables","445","2","Very satisfied with the service.","4","No","No"
"ORD000190","CUST0001","Swiggy Instamart","2024-11-01 09:42:20","24","16","Grocery","944","5","Decent experience overall.","3","No","No"
"ORD000191","CUST2048","Blinkit","2024-11-01 09:44:17","40","29","Fruits & Vegetables","310","2","Packaging could be better.","2","No","Yes"
"ORD000192","CUST0009","Blinkit","2024-11-01 09:44:29","35","31","Personal Care","387","2","Delayed and poor communication.","4","No","No"
"ORD000193","CUST0001","Swiggy Instamart","2024-11-01 09:45:26","29","22","Beverages","377","3","Smooth ordering and quick delivery.","4","No","No"
"ORD000194","CUST0003","Blinkit","2024-11-01 09:47:40","40","37","Personal Care","293","2","Very satisfied with the service.","5","No","No"
"ORD000195","CUST0002","JioMart","2024-11-01 09:48:04","34","41","Personal Care","504","4","Easy to order, loved it!","4","Yes","No"
"ORD000196","CUST0003","JioMart","2024-11-01 09:48:56","26","20","Snacks","185","4","Decent experience overall.","3","No","No"
"ORD000197","CUST0014","Blinkit","2024-11-01 09:49:02","24","21","Dairy","234","2","Quick and reliable!","4","No","No"
"ORD000198","CUST0002","Swiggy Instamart","2024-11-01 09:49:45","22","28","Dairy","399","2","Delayed and poor communication.","2","Yes","Yes"
"ORD000199","CUST0002","Swiggy Instamart","2024-11-01 09:50:01","20","16","Grocery","777","6","Easy to order, loved it!","5","No","No"
"ORD000200","CUST0003","JioMart","2024-11-01 09:50:45","35","28","Fruits & Vegetables","196","4","Packaging could be better.","4","No","No"
"ORD000201","CUST0086","Swiggy Instamart","2024-11-01 09:52:15","29","26","Snacks","272","3","Smooth ordering and quick delivery.","4","No","No"
"ORD000202","CUST0001","JioMart","2024-11-01 09:53:23","26","20","Grocery","482","5","Great value for money.","5","No","No"
"ORD000203","CUST0002","JioMart","2024-11-01 10:00:38","24","20","Grocery","327","5","Great value for money.","4","No","No"
"ORD000204","CUST0005","Swiggy Instamart","2024-11-01 10:00:50","36","42","Fruits & Vegetables","171","5","Product arrived damaged.","4","Yes","No"
"ORD000205","CUST0001","JioMart","2024-11-01 10:02:19","26","19","Dairy","272","5","Delivery was a little slow but acceptable.","3","No","No"
"ORD000206","CUST0001","Blinkit","2024-11-01 10:02:27","33","40","Personal Care","455","3","Decent experience overall.","4","Yes","No"
"ORD000207","CUST0009","Swiggy Instamart","2024-11-01 10:03:07","31","27","Snacks","470","7","Packaging could be better.","4","No","No"
"ORD000208","CUST0001","Swiggy Instamart","2024-11-01 10:03:26","36","27","Fruits & Vegetables","237","6","Excellent experience!","4","No","No"
"ORD000209","CUST0001","Blinkit","2024-11-01 10:06:02","23","17","Grocery","899","3","Fast delivery, great service!","4","No","No"
"ORD000210","CUST0001","Swiggy Instamart","2024-11-01 10:07:01","19","13","Grocery","630","2","Excellent experience!","5","No","No"
"ORD000211","CUST0006","JioMart","2024-11-01 10:07:45","20","13","Dairy","681","6","Quick and reliable!","4","No","No"
